ï»¿id;id_ex;siret;rup_mi;gestion;date_creat;date_decla;date_publi;date_disso;nature;groupement;titre;titre_court;objet;objet_social1;objet_social2;adrs_complement;adrs_numvoie;adrs_repetition;adrs_typevoie;adrs_libvoie;adrs_distrib;adrs_codeinsee;adrs_codepostal;adrs_libcommune;adrg_declarant;adrg_complemid;adrg_complemgeo;adrg_libvoie;adrg_distrib;adrg_codepostal;adrg_achemine;adrg_pays;dir_civilite;siteweb;publiweb;observation;position;maj_time
W131000025;;;;131S;2006-01-30;2006-01-30;2006-03-11;0001-01-01;D;S;FOOT PROVENCE;FOOT PROVENCE;ORGANISER DES MATCHES DE FOOTBALL ENTRE SES MEMBRES, AVEC D'AUTRES ASSOCIATIONS, DES RENCONTRES AVEC DES SOCIETES DIVERSES ET TOUTES ACTIVITES CONNEXES OU COMPLEMENTAIRES QUI CONCOURENT DIRECTEMENT OU INDIRECTEMENT A LA REALISATION DE L'OBJET CI-DESSUS;011075;000000;;16 H; ;AV;des Gramenieres;_;13037;13580;La Fare-les-Oliviers;;;;16 H  Avenue des Gramenieres;;13580;LA FARE LES OLIVIERS;FRANCE;PM;http//foot-provence.ifrance.com;0;;A;2008-08-11 17:35:31
W131000130;;;;131S;2006-03-15;2019-07-18;2006-04-15;0001-01-01;D;S;LES VIEUX CRAMPONS DE SAINT PAUL;LES VIEUX CRAMPONS DE SAINT PAUL;Association pour promotion du football en tant que vecteur de convivialitÃ© et d'esprit sportif.;011000;000000;Hotel de Ville;2; ;PL;Jean Santini;_;13099;13115;Saint-Paul-lÃ¨s-Durance;;;;LIEU DIT CORNILLE;LES PERRAILLES DU PIGEONNIER;13115;ST PAUL LES DURANCE;FRANCE;PM;;0;;A;2019-07-19 13:02:45
W131000271;0131001729;;;131S;1997-03-21;2020-09-23;0001-01-01;0001-01-01;D;S;LUYNES SPORTS;LUYNES SPORTS;762/32 - A pour objet la pratique des sports et entre autre le football.;011000;000000;;; ;AV;FranÃ§ois vidal;_;13001;13080;Aix-en-Provence;;;;34 LE PRE DE L AUBE;;13240;SEPTEMES LES VALLONS;FRANCE;PM;;0;;A;2021-03-24 20:00:04
W131000316;0131001158;39969658200010;;131S;1992-06-10;2020-01-10;0001-01-01;0001-01-01;D;S;JEUNESSE SPORTIVE DES PENNES MIRABEAU;JEUNESSE SPORTIVE DES PENNES MIRABEAU;251/92 CrÃ©ation d'un club de football;011000;011000;;; ;;Chemin de Val Sec - La Gavotte;_;13071;13170;Les Pennes-Mirabeau;;;;Chemin de Val Sec - La Gavotte;;13170;LES PENNES MIRABEAU;FRANCE;PF;www.jspm.fr;0;;A;2020-01-23 14:52:41
W131000432;;;;131S;2006-05-09;2006-05-09;2006-06-03;0001-01-01;D;S;PSION TEKLOGIX EUROPE ASSOCIATION;PSION TEKLOGIX EUROPE ASSOCIATION;CrÃ©ation d'une Ã©quipe de football en FSGT.;011015;011075;La Duranne;135; ;RUE;RenÃ© Descartes;BP_421000 Cedex 3;13001;13100;Aix-en-Provence;;La Duranne;PSION TEKLOGIX EUROPE SAS;135  Rue RenÃ© Descartes;BP 421000 Cedex 3;13100;AIX EN PROVENCE;FRANCE;PM;;0;;A;2008-08-11 17:35:31
W131000453;283/89;;;131S;1989-05-13;2012-12-17;1989-07-05;2012-12-07;D;S;FOOTBALL CLUB MUNICIPAL DU THOLONET  -  F.C.M.T.;F.C.M.T.;PRATIQUE ET DEVELOPPEMENT DU FOOTBALL;011075;011075;la GlycÃ©rine BÃ¢t D;32; ;AV;Alfred Capus;_;13001;13090;Aix-en-Provence;;;BAT D;32 AVENUE ALFRED CAPUS;LA GLYCERINE;13090;AIX EN PROVENCE;FRANCE;PF;;1;DISSOLUTION BTE 125  19/12/12;D;2012-12-29 12:46:19
W131000571;;;;131S;2006-06-02;2006-06-02;2006-07-01;0001-01-01;D;S;ATHLETIC SALON FOOT;ATHLETIC SALON FOOT;Promouvoir la pratique et le dÃ©veloppement du football.;011075;000000;;89; ;AV;de la Sainte Victoire;_;13103;13300;Salon-de-Provence;;;;89  Avenue de la Sainte Victoire;;13300;SALON DE PROVENCE;FRANCE;PM;;0;;A;2008-08-11 17:35:31
W131000775;;;;131S;2006-08-01;2014-07-16;2006-08-01;2014-07-08;D;S;OCCITANA MASSALIA;OCCITANA MASSALIA;PRATIQUE SPORTIVE DE FOOTBALL;011075;000000;;285; ;AV;DU 8 MAI 1945;_;13106;13240;SeptÃ¨mes-les-Vallons;;;;285  AVENUE DU 8 MAI 1945;;13240;SEPTEMES LES VALLONS;FRANCE;PM;;0;DISSOLUTION BTE 137   16/07/2014;D;2014-07-28 18:46:45
W131001041;;;;131S;2006-08-28;2006-08-28;2006-08-28;0001-01-01;D;S;LOKOMOTIV FUTSAL CLUB (L.F.C);LOKOMOTIV FUTSAL CLUB (L.F.C);FUTSAL;011090;000000;9 AVENUE JULES ISAAC;; ;;;_;13001;13100;Aix-en-Provence;;9 AVENUE JULES ISAAC;;;;13100;AIX EN PROVENCE;FRANCE;PM;;0;;A;2008-08-11 17:35:31
W131001097;;;;131S;2006-09-01;2006-09-01;2006-09-01;0001-01-01;D;S;PASSION FOOT;PASSION FOOT;REUNIR DES PASSIONNES ET ANCIENS JOUEUR DE FOOTBALL;011075;000000;;15; ;CHEM1;DU CASTELLAS;_;13001;13540;Aix-en-Provence;;;;15  Chemin DU CASTELLAS;;13540;AIX EN PROVENCE;FRANCE;PM;;0;;A;2008-08-11 17:35:31
